repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc
MilanDean/cloud-distilBERT-MLsystems,https://github.com/MilanDean/cloud-distilBERT-MLsystems,load.js,yes,,0,,0,,2,46:21; 52:25,0,
7etrahedral/k6-script,https://github.com/7etrahedral/k6-script,script.js,yes,,0,,0,,3,14:18; 34:19; 35:3,0,
yosilia/ecommerce-full-site,https://github.com/yosilia/ecommerce-full-site,script.js,yes,,0,,0,,4,19:13; 23:9; 27:9; 35:9,0,
programadriano/k6-loadtest-net6-heroku,https://github.com/programadriano/k6-loadtest-net6-heroku,index.js,yes,,0,,1,9:1,0,,1,4:14
prastamaha/envelope-encryption-example,https://github.com/prastamaha/envelope-encryption-example,script.js,yes,,0,,1,18:1,2,40:31; 45:36,1,10:12
hauzanrafiattallah/spring-redis-compare,https://github.com/hauzanrafiattallah/spring-redis-compare,script.js,yes,,0,,0,,0,,0,
hakimamarullah/docker-kingdom,https://github.com/hakimamarullah/docker-kingdom,script.js,yes,,0,,0,,0,,0,
tadeifelipe/e_wallet,https://github.com/tadeifelipe/e_wallet,script.js,yes,,0,,1,17:1,0,,1,4:12
Rilok21/k6-with-grafana,https://github.com/Rilok21/k6-with-grafana,script.js,yes,,0,,1,9:1,0,,1,4:14
claudioStahl/kafka_sync,https://github.com/claudioStahl/kafka_sync,k6.js,yes,,0,,0,,0,,1,4:14
cluesurf/tone,https://github.com/cluesurf/tone,index.ts,yes,,0,,0,,0,,0,
Cmdmdz/script-k6,https://github.com/Cmdmdz/script-k6,Auth.js,yes,,0,,0,,0,,1,5:12
userwhoga/midka,https://github.com/userwhoga/midka,mvc.js,yes,,0,,1,9:1,0,,1,4:14
Dmitriihub/studyproject2,https://github.com/Dmitriihub/studyproject2,k6.js,yes,,1,24:17,0,,0,,1,8:14
rpp36-sdc-utf8/rpp36-aaron-overview,https://github.com/rpp36-sdc-utf8/rpp36-aaron-overview,script.js,yes,,0,,0,,0,,1,4:14
Chris-Owusu/k6,https://github.com/Chris-Owusu/k6,groups.js,yes,,0,,0,,4,16:19; 20:13; 21:13; 26:9,0,
amir3ash/chatt,https://github.com/amir3ash/chatt,k6/ws.js,yes,,0,,0,,3,43:11; 63:7; 77:3,1,14:14
2024-Hanium-PlanDing/PlanDing-Backend,https://github.com/2024-Hanium-PlanDing/PlanDing-Backend,stress.js,yes,,0,,0,,0,,0,
CoCreate-app/CoCreate-loadtest,https://github.com/CoCreate-app/CoCreate-loadtest,socket.js,yes,,0,,0,,0,,0,
feejunior/k6login,https://github.com/feejunior/k6login,k6login.js,yes,,0,,0,,2,15:20; 33:22,0,
Magnificent-Malasada/ratingsAndReviews,https://github.com/Magnificent-Malasada/ratingsAndReviews,script.js,yes,,0,,1,5:1,0,,0,
Galactic-Empire-SDC/Products,https://github.com/Galactic-Empire-SDC/Products,script.js,yes,,0,,1,8:1,0,,1,3:14
JamesGrant1811/k6-udemy,https://github.com/JamesGrant1811/k6-udemy,groups.js,yes,,0,,0,,4,15:19; 19:13; 20:13; 26:9,0,
