repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,fc-msa-gocoupon/k6/v1/101-testIssueCoupon_whenHave10QoutaAnd100Request.js,yes,,0,,1,17:1,0,,0,
farhanlabib/xk6-file-sample-project,https://github.com/farhanlabib/xk6-file-sample-project,pkg/mod/github.com/grafana/xk6-browser@v1.0.2/examples/evaluate.js,yes,,0,,0,,0,,0,
farhanlabib/xk6-file-sample-project,https://github.com/farhanlabib/xk6-file-sample-project,pkg/mod/github.com/grafana/xk6-grpc@v0.1.3-0.20230717090346-fb49221e0ce1/examples/grpc_client_streaming.js,yes,,0,,0,,0,,0,
farhanlabib/xk6-file-sample-project,https://github.com/farhanlabib/xk6-file-sample-project,pkg/mod/github.com/grafana/xk6-browser@v1.0.2/examples/hosts.js,yes,,0,,0,,0,,0,
Boavizta/ecobenchmark-applicationweb-backend,https://github.com/Boavizta/ecobenchmark-applicationweb-backend,validator/scenario.js,yes,,0,,0,,22,59:5; 59:11; 62:5; 62:11; 65:5; 65:11; 70:3; 70:9; 79:17; 89:7; 89:13; 95:15; 110:17; 116:17; 122:17; 128:15; 143:17; 149:17; 155:17; 162:15; 189:3; 189:9,0,
carloosbaquero/Cliente-TFM,https://github.com/carloosbaquero/Cliente-TFM,loadtest.js,yes,,0,,0,,0,,1,9:14
eswaryalakanti/Learning-Management-system,https://github.com/eswaryalakanti/Learning-Management-system,Server/controllers/user.controller.js,yes,,0,,0,,0,,0,
TelenorNorway/docker-for-win-issue-8861,https://github.com/TelenorNorway/docker-for-win-issue-8861,src/main/k6/testcase.js,yes,,0,,0,,0,,1,103:14
vfarcic/groundcover-demo,https://github.com/vfarcic/groundcover-demo,k6.js,yes,,0,,1,9:1,0,,1,4:14
Zaha250/rg-testing,https://github.com/Zaha250/rg-testing,src/api/modules/common/getSidebarComponents.js,yes,,0,,0,,0,,0,
cristianlopera24/PetStore_Performance,https://github.com/cristianlopera24/PetStore_Performance,cases/store/postStoreOrderTest.js,yes,,0,,0,,0,,1,12:12
mountebank-testing/mountebank,https://github.com/mountebank-testing/mountebank,mbTest/perf/loadTest.js,yes,,0,,0,,0,,0,
carlaferrarez/poc-istio-envoyfilter,https://github.com/carlaferrarez/poc-istio-envoyfilter,testes/get-rest.js,yes,,0,,0,,0,,1,5:14
leo-badell/K6-course,https://github.com/leo-badell/K6-course,creatingTest/expected-response-initial-code.js,yes,,0,,0,,4,16:19; 20:13; 21:13; 27:9,0,
leo-badell/K6-course,https://github.com/leo-badell/K6-course,Using_Parameters/random-sleep.js,yes,,0,,1,10:1,0,,1,5:14
shardie-github/floyo,https://github.com/shardie-github/floyo,k6/performance-baseline.js,yes,,0,,0,,2,34:19; 44:16,0,
PurpleFishh/muzici,https://github.com/PurpleFishh/muzici,backend-module/testing/statistics_testing.js,yes,,0,,0,,4,143:19; 148:15; 158:19; 168:19,0,
PurpleFishh/muzici,https://github.com/PurpleFishh/muzici,backend-module/testing/auth_testing.js,yes,,0,,0,,2,65:20; 88:25,0,
triszt4n/streamzen-monorepo,https://github.com/triszt4n/streamzen-monorepo,perftesting/script_old.js,yes,,0,,0,,0,,1,4:14
ydarias/xk6-nats,https://github.com/ydarias/xk6-nats,examples/withHeaders.js,yes,,0,,0,,0,,0,
SDC8-Aragorn/Q-A,https://github.com/SDC8-Aragorn/Q-A,Spec/script copy 2.js,yes,,0,,0,,0,,0,
ham2k/lib-callsigns,https://github.com/ham2k/lib-callsigns,src/lib/parseCallsign.spec.js,yes,,0,,0,,0,,0,
pleasebelieveme/merong,https://github.com/pleasebelieveme/merong,search_performance.js,yes,,0,,0,,0,,1,5:14
afiffahreza/online-AutoLog,https://github.com/afiffahreza/online-AutoLog,k6/generate-load.js,yes,,0,,0,,0,,1,4:14
ohsu-comp-bio/load-testing,https://github.com/ohsu-comp-bio/load-testing,login.js,yes,,0,,0,,0,,0,
overist/hhd-plus-e-commerce,https://github.com/overist/hhd-plus-e-commerce,k6/common/setup.js,yes,,0,,0,,0,,0,
beatrizfteixeira/performance-mvc-webflux,https://github.com/beatrizfteixeira/performance-mvc-webflux,script-2.js,yes,,0,,0,,0,,0,
van1164/AllYouRaffle-BE,https://github.com/van1164/AllYouRaffle-BE,k6_executor/purchase.js,yes,,0,,0,,0,,1,5:12
Magnificent-Malasada/productOverview,https://github.com/Magnificent-Malasada/productOverview,k6/allProducts.js,yes,,0,,0,,0,,1,57:12
dikyayodihamzah/Load-Test,https://github.com/dikyayodihamzah/Load-Test,example_nearon/example.js,yes,,0,,1,56:1,0,,1,4:14
ququiz/scalable-ququiz-kubernetes,https://github.com/ququiz/scalable-ququiz-kubernetes,load-testing/quiz_question.js,yes,,0,,1,10:1,0,,1,4:14
Challe-P/report-load-tests,https://github.com/Challe-P/report-load-tests,script-html-report.js,yes,,0,,0,,2,15:3; 15:9,0,
CarnegieMellon-PlantD/PlantD-operator,https://github.com/CarnegieMellon-PlantD/PlantD-operator,apps/loadgen/http.plainText.js,yes,,5,4:16; 4:27; 5:17; 6:19; 6:30,0,,0,,1,13:12
Consensys/codefi-assets-and-payments,https://github.com/Consensys/codefi-assets-and-payments,platform/services/entity-api/k6/utils/kafka.ts,yes,,0,,0,,0,,0,
steadybit/examples,https://github.com/steadybit/examples,loadtest/k6-start-experiment/script.js,yes,,0,,1,11:1,0,,0,
CrisDev2509/Sistema-Web-Hamburgueseria,https://github.com/CrisDev2509/Sistema-Web-Hamburgueseria,K6/eliminar_proveedor.js,yes,,0,,1,5:1,0,,0,
TomWang22/record-platform,https://github.com/TomWang22/record-platform,scripts/load/all-in-one-k6.js,yes,,0,,0,,7,162:19; 206:15; 215:17; 227:11; 248:11; 265:11; 281:11,1,146:14
ChervyachokMigo/osu-tools,https://github.com/ChervyachokMigo/osu-tools,built/consts/modes.js,yes,,0,,0,,0,,0,
fernandoescolar/xk6-azservicebus,https://github.com/fernandoescolar/xk6-azservicebus,examples/queue_single_string_message.js,yes,,0,,0,,0,,0,
NelsonBN/samples-k6-tests,https://github.com/NelsonBN/samples-k6-tests,src/custom-metrics/counter.js,yes,,0,,0,,0,,1,6:12
NelsonBN/samples-k6-tests,https://github.com/NelsonBN/samples-k6-tests,src/http-requests/verbs-put.js,yes,,0,,0,,0,,0,
AratKruglik/octane-tests,https://github.com/AratKruglik/octane-tests,k6/k6_2.js,yes,,0,,1,16:1,0,,1,4:12
com-junkawasaki/fcdb,https://github.com/com-junkawasaki/fcdb,loadtest/k6_3hop.js,yes,,0,,0,,0,,0,
Napat/k6_loadtest,https://github.com/Napat/k6_loadtest,01_basic_k6/01_get.js,yes,,0,,1,4:1,0,,0,
RayLiu1999/chat_app_backend,https://github.com/RayLiu1999/chat_app_backend,loadtest/scenarios/light.js,yes,,0,,0,,0,,0,
gpiechnik2/k6-boilerplate,https://github.com/gpiechnik2/k6-boilerplate,scripts/wyszukiwanie-artykulu.js,yes,,0,,0,,4,45:14; 66:14; 77:16; 78:14,0,
Meldiron/appwrite-functions-benchmark,https://github.com/Meldiron/appwrite-functions-benchmark,functions-stress/dumpsterTheServer.js,yes,,1,18:22,0,,5,22:30; 46:29; 48:15; 64:27; 80:30,0,
Milla2000/Shopify,https://github.com/Milla2000/Shopify,Shopify-backend/K6/breakpointTest.js,yes,,0,,1,12:1,0,,1,4:14
tmc/the-AIvengers,https://github.com/tmc/the-AIvengers,load-generation/basic-load-generation.js,yes,,0,,0,,0,,1,5:12
Hanumansai72/Backend,https://github.com/Hanumansai72/Backend,api/models/email.js,yes,,0,,1,9:1,0,,1,4:12
ruvnet/ruvector,https://github.com/ruvnet/ruvector,benchmarks/benchmark-runner.ts,yes,,0,,0,,0,,0,
steverzag/result-pattern-exception-handling-demo,https://github.com/steverzag/result-pattern-exception-handling-demo,apitest-v1.get-user.js,yes,,0,,0,,0,,1,4:14
SolidMaster568/voluntarily-mern,https://github.com/SolidMaster568/voluntarily-mern,x/perf/k6/api_health.js,yes,,0,,0,,0,,0,
Parallels/prl-devops-service,https://github.com/Parallels/prl-devops-service,loadtest/health_check.js,yes,,0,,0,,0,,1,4:14
TestriqQA-Lab/testrq-3.0,https://github.com/TestriqQA-Lab/testrq-3.0,src/lib/wordpress-data-adapter.ts,yes,,0,,0,,0,,0,
rpp36-sdc-smtp/smtp-othniel-reviews,https://github.com/rpp36-sdc-smtp/smtp-othniel-reviews,server/K6/putReportScript.js,yes,,0,,0,,0,,0,
KakoF/Template_Distributed_Arch,https://github.com/KakoF/Template_Distributed_Arch,Docs/K6/modulo3_conceitos_importantes/aula18.js,yes,,0,,0,,0,,0,
KontonGu/MLPerf-Inference-Benchmark-FaST-GShare,https://github.com/KontonGu/MLPerf-Inference-Benchmark-FaST-GShare,resnet/client/fn-k6.js,yes,,1,19:15,0,,0,,1,8:14
WizziGameDev/k6-performance-testing,https://github.com/WizziGameDev/k6-performance-testing,fraud-detection-simulation.js,yes,,0,,1,68:1,0,,1,5:14
saimanikumar67/k6_scripts_testing,https://github.com/saimanikumar67/k6_scripts_testing,k6_postman/k6_cpu_mem_responsetime.js,yes,,0,,1,31:17,0,,0,
lucifer3618/next-dev,https://github.com/lucifer3618/next-dev,synthetic-monitoring/k6-monitoring/api-check.js,yes,,0,,0,,2,44:22; 103:28,0,
Abhay2412/SENG533FinalProject,https://github.com/Abhay2412/SENG533FinalProject,scripts/OLD/numberOfIterations/sharedIterations/vus.js,yes,,0,,0,,0,,1,9:14
JS-Ranker/Monitoreo_k6,https://github.com/JS-Ranker/Monitoreo_k6,Monitoreo_k6/steps/addToCart.js,yes,,0,,0,,0,,0,
JS-Ranker/Monitoreo_k6,https://github.com/JS-Ranker/Monitoreo_k6,Monitoreo_k6/steps/submitLogin.js,yes,,0,,0,,0,,0,
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find_Aggregation_OfferCount/mongo_ref_index.js,yes,,0,,0,,0,,1,9:12
ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,https://github.com/ViktorNovak1/DBI-Projekt-5DHIF-Wintersemester-Novak-Gregorich,loadTesting/Find/mongo_ref.js,yes,,0,,0,,0,,1,9:12
al03022140/devops-web-app,https://github.com/al03022140/devops-web-app,scripts/k6/login-and-list.js,yes,,0,,0,,2,19:20; 32:21,0,
dongnguyenduybang/k6-report,https://github.com/dongnguyenduybang/k6-report,revoke-dm-message-reaction/revoke-dm-message-reaction.k6.js,yes,,4,9:22; 10:17; 12:23; 13:18,0,,0,,1,39:14
robersonliou/k6-playground,https://github.com/robersonliou/k6-playground,src/check/hello-check.js,yes,,0,,0,,0,,0,
vini2sousa/banking-process,https://github.com/vini2sousa/banking-process,teste-transferencia.js,yes,,0,,0,,0,,1,4:12
yoandiny/manasoa-education-backend,https://github.com/yoandiny/manasoa-education-backend,reportCard.js,yes,,0,,0,,0,,0,
team-kutner/photo_carousel-service,https://github.com/team-kutner/photo_carousel-service,script.js,yes,,0,,0,,2,14:3; 14:9,0,
HappyPathsOnly/k6-more-examples,https://github.com/HappyPathsOnly/k6-more-examples,checks/check-ensure_failure.js,yes,,0,,0,,0,,0,
tomkaith13/session-based-dataprocessing,https://github.com/tomkaith13/session-based-dataprocessing,k6/session.js,yes,,1,49:1,0,,8,56:23; 61:23; 66:23; 73:20; 85:21; 97:21; 108:21; 119:21,1,7:12
rfigueroa21/Laboratorio3,https://github.com/rfigueroa21/Laboratorio3,performance/soak.js,yes,,0,,0,,0,,1,4:14
keith-liu-seagull-com/codeceptJS-KeithTest,https://github.com/keith-liu-seagull-com/codeceptJS-KeithTest,K6_examples/btctest.js,yes,,0,,0,,0,,1,8:12
pcristin/not_golang_contest,https://github.com/pcristin/not_golang_contest,k6_loadtests/loadtest.js,yes,,0,,1,121:17,6,194:11; 195:11; 196:11; 197:11; 198:11; 200:11,0,
sidharthv96/tambola,https://github.com/sidharthv96/tambola,k6.js,yes,,0,,0,,0,,1,4:12
kyourselfer/OTUS_SRE202207,https://github.com/kyourselfer/OTUS_SRE202207,Project/env/LoadTest/front-app.js,yes,,0,,0,,0,,1,12:12
rpp36-sdc-smtp/smtp-serena-QnA,https://github.com/rpp36-sdc-smtp/smtp-serena-QnA,server/K6/stressTest_reportAnswer.js,yes,,0,,0,,2,26:3; 26:9,0,
Informatievlaanderen/registry-testing,https://github.com/Informatievlaanderen/registry-testing,src/streetname/list.js,yes,,0,,0,,0,,0,
sharisroy/K6Learnign,https://github.com/sharisroy/K6Learnign,20-batchRequest.js,yes,,0,,0,,2,39:21; 42:3,0,
pagopa/pn-load-test,https://github.com/pagopa/pn-load-test,src/InteropTracing.js,yes,,3,8:22; 8:33; 22:21,0,,2,90:11; 94:25,1,8:12
pagopa/pn-load-test,https://github.com/pagopa/pn-load-test,src/BankCourtesyMessage.js,yes,,4,7:22; 7:33; 39:1; 42:3,0,,6,80:24; 81:13; 84:13; 88:24; 89:13; 92:13,1,7:12
hanghae-plus-5th/hhplus-e-commerce,https://github.com/hanghae-plus-5th/hhplus-e-commerce,k6/product/getTopProducts.js,yes,,0,,0,,0,,0,
hanghae-plus-5th/hhplus-e-commerce,https://github.com/hanghae-plus-5th/hhplus-e-commerce,k6/scenario/scenario.js,yes,,0,,0,,6,11:20; 25:13; 34:10; 38:10; 42:9; 55:9,0,
DishaKhilari/LeonardoAi,https://github.com/DishaKhilari/LeonardoAi,src/K6/loadtest.js,yes,,0,,0,,0,,1,4:14
Guspex/EBAC-QA,https://github.com/Guspex/EBAC-QA,Mod28/requests/products.request.js,yes,,0,,0,,0,,0,
nexoqa/nexoqa_training_eng_adv_k6,https://github.com/nexoqa/nexoqa_training_eng_adv_k6,k6/template.js,yes,,0,,0,,0,,0,
tianling0625/W255repo,https://github.com/tianling0625/W255repo,main/labs/project/load.js,yes,,0,,0,,2,46:21; 52:25,0,
wy8162/study-ktor,https://github.com/wy8162/study-ktor,perf/k6perf.js,yes,,0,,0,,0,,1,4:12
GiveMeAjob-job/Keycloak,https://github.com/GiveMeAjob-job/Keycloak,k6/scripts/auth-login.js,yes,,0,,0,,0,,0,
Matrics-io/k6-sdk,https://github.com/Matrics-io/k6-sdk,reportportal/lifecycle-manager.js,yes,,0,,0,,2,72:16; 85:16,0,
Matrics-io/k6-sdk,https://github.com/Matrics-io/k6-sdk,templates/ramp.js,yes,,0,,0,,1,247:26,0,
Matrics-io/k6-sdk,https://github.com/Matrics-io/k6-sdk,templates/scalability.js,yes,,0,,0,,1,389:26,0,
hr-rfp55-sdc2-cucco/questions-answers-endpoint,https://github.com/hr-rfp55-sdc2-cucco/questions-answers-endpoint,script.js,yes,,0,,1,9:1,0,,1,4:12
wisehero/hhplus-ecommerce,https://github.com/wisehero/hhplus-ecommerce,k6/coupon_redis.js,yes,,0,,0,,0,,1,6:14
PacktPublishing/Implementing-Event-Driven-Architecture-in-.NET-5,https://github.com/PacktPublishing/Implementing-Event-Driven-Architecture-in-.NET-5,ch03/benchmark/http_get.js,yes,,0,,0,,0,,1,4:12
pryzmian/ScuttleCrab,https://github.com/pryzmian/ScuttleCrab,Commands/LoL/build.js,yes,,0,,0,,0,,0,
mpowrd/SoftwareMaintenanceAndTesting,https://github.com/mpowrd/SoftwareMaintenanceAndTesting,Practica8/P7/realizarPrediccionEndToEnd.js,yes,,0,,0,,0,,0,
GyanaprakashKhandual/Automation-Functional-Py-Test,https://github.com/GyanaprakashKhandual/Automation-Functional-Py-Test,gmppages/ahm.js,yes,,0,,0,,0,,0,
adi-testing/k6-performance-tests,https://github.com/adi-testing/k6-performance-tests,scripts/average_load.js,yes,,0,,0,,0,,0,
adi-testing/k6-performance-tests,https://github.com/adi-testing/k6-performance-tests,scripts/stress.js,yes,,0,,0,,0,,1,4:12
kwishna/Grafana-K6-performance-test,https://github.com/kwishna/Grafana-K6-performance-test,src/course-tutorial/auth/basic-auth.js,yes,,0,,0,,2,15:13; 33:9,0,
grafana/xk6-output-example,https://github.com/grafana/xk6-output-example,script.js,yes,,0,,1,15:1,0,,1,4:12
cortezalberto/pruebaMar,https://github.com/cortezalberto/pruebaMar,spike_testing.js,yes,,0,,0,,0,,1,5:14
sipe-team/3-1_spurt,https://github.com/sipe-team/3-1_spurt,playground/inspire12/performance-testing-architecture/k6-testing/js/week5/get-order-async.js,yes,,0,,0,,2,33:21; 36:3,1,8:12
sipe-team/3-1_spurt,https://github.com/sipe-team/3-1_spurt,playground/inspire12/performance-testing-architecture/k6-testing/js/week3/get-async.js,yes,,0,,0,,2,33:21; 36:3,1,8:12
justLxy/PointPulse,https://github.com/justLxy/PointPulse,load-testing/stress.js,yes,,0,,0,,7,27:20; 46:5; 46:11; 47:5; 47:11; 51:19; 61:19,0,
wayter95/benchmarks-monotlito-microservices,https://github.com/wayter95/benchmarks-monotlito-microservices,k6/scenarios/microservices/microservices-authentication.js,yes,,0,,1,9:1,0,,0,
byounghoon95/concert-ticketing,https://github.com/byounghoon95/concert-ticketing,k6/concert/getAvailableDates.js,yes,,0,,0,,0,,1,4:14
vfarcic/keda-demo,https://github.com/vfarcic/keda-demo,k6-100.js,yes,,0,,1,9:1,0,,1,4:14
qcoop918/k6-bookstore-tests,https://github.com/qcoop918/k6-bookstore-tests,data/acmescriptProf.js,yes,,0,,0,,0,,0,
Hyperspace-Metaverse/xk6-socketio,https://github.com/Hyperspace-Metaverse/xk6-socketio,examples/advanced.js,yes,,0,,0,,10,10:3; 14:3; 18:3; 22:3; 26:3; 30:3; 35:5; 42:3; 44:5; 54:3,0,
PedroCoelho8/QSOFT-Projeto,https://github.com/PedroCoelho8/QSOFT-Projeto,Part2/documentation/1240485/Performance/k6/STRESS-GET/StressTestGETK6.js,yes,,0,,0,,0,,0,
UrumiAI/wc-perf-testing,https://github.com/UrumiAI/wc-perf-testing,requests/shopper/cart-remove-item.js,yes,,0,,0,,0,,0,
dhalexkim/k6-demo,https://github.com/dhalexkim/k6-demo,scripts/http/examples/example03.js,yes,,0,,0,,4,17:19; 21:13; 22:13; 28:9,0,
GHesericsu/cloudStay-PhotoGallery,https://github.com/GHesericsu/cloudStay-PhotoGallery,loadtest.js,yes,,0,,1,38:1,0,,0,
biancabelea/Mentum,https://github.com/biancabelea/Mentum,mentum-k6/rest/bookSlot.rest.js,yes,,0,,0,,0,,1,4:14
snothub/snothub.github.io,https://github.com/snothub/snothub.github.io,loadtest-infra/k6scripts/Biometri/AuthenticationTest.js,yes,,0,,1,19:1,4,20:17; 25:23; 35:23; 47:23,1,13:14
teri0411/Real-time-data-with-serverless,https://github.com/teri0411/Real-time-data-with-serverless,lambda/Websocket/datainsert.js,yes,,0,,0,,0,,1,13:14
SwissLife-OSS/K6-MultiScenario-template,https://github.com/SwissLife-OSS/K6-MultiScenario-template,learnk6/05-Stages.js,yes,,0,,0,,0,,0,
WhrTvT/hhplus-Ecommerce,https://github.com/WhrTvT/hhplus-Ecommerce,k6/k6-scripts/peak.js,yes,,0,,0,,2,33:21; 51:27,0,
SungHo4119/eCommerce,https://github.com/SungHo4119/eCommerce,k6-scripts/stress.js,yes,,0,,0,,0,,1,5:14
yangahh/concert-ticket-reservation,https://github.com/yangahh/concert-ticket-reservation,docs/k6/get_seats_script_150tps.js,yes,,0,,0,,1,14:19,0,
aotearoan/neon,https://github.com/aotearoan/neon,src/app/views/user-input/select/Select.ts,yes,,0,,0,,0,,0,
brodo/kubectl-k6,https://github.com/brodo/kubectl-k6,examples/get_nodes/GetNodes.js,yes,,0,,1,76:1,0,,0,
ren-joey/NestJS_dogcatstar,https://github.com/ren-joey/NestJS_dogcatstar,k6/script.js,yes,,0,,0,,4,12:22; 26:28; 48:28; 59:5,1,4:14
thetkpark/cscms-services-deployment,https://github.com/thetkpark/cscms-services-deployment,k6/aka-cscms.js,yes,,0,,0,,0,,1,4:12
vunetsystems/Load-Testing-Tool,https://github.com/vunetsystems/Load-Testing-Tool,k6_final/k6_dashboard_name/traces/trace-analyze-errors.js,yes,,2,38:18; 81:1,0,,0,,1,55:12
vunetsystems/Load-Testing-Tool,https://github.com/vunetsystems/Load-Testing-Tool,k6_final/k6_dashboard_name/log_analytics.js,yes,,0,,0,,0,,1,16:12
sheikhshack/openrainbow-poc-50.003,https://github.com/sheikhshack/openrainbow-poc-50.003,SystemTests/loadtests/k6testing/api3.js,yes,,0,,0,,0,,0,
sheikhshack/openrainbow-poc-50.003,https://github.com/sheikhshack/openrainbow-poc-50.003,SystemTests/loadtests/k6testing/sequentialtest.js,yes,,0,,1,78:1,5,60:15; 73:16; 101:23; 113:20; 138:19,0,
HuaHsuan-Liang/ScaleableResourceForDocker,https://github.com/HuaHsuan-Liang/ScaleableResourceForDocker,ENV_Docker/script.js,yes,,0,,1,23:1,0,,1,7:14
jimmyhogerty/Project-Ecom,https://github.com/jimmyhogerty/Project-Ecom,server/k6LocalTesting/k6styles.js,yes,,0,,0,,0,,1,7:14
jwcastillo/0_to_100_k6,https://github.com/jwcastillo/0_to_100_k6,challengues/ecommerce/base.js,yes,,0,,0,,12,30:16; 39:16; 51:16; 60:16; 77:16; 86:16; 100:16; 131:16; 162:16; 193:16; 226:18; 236:18,1,5:14
joergstreeck/freshplan-sales-tool,https://github.com/joergstreeck/freshplan-sales-tool,docs/planung/features-neu/00_infrastruktur/leistung/artefakte/testing/peak-4x.js,yes,,0,,1,10:1,0,,0,
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6246-aws.js,yes,,0,,0,,0,,1,10:12
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6214-vu1.js,yes,,0,,0,,0,,1,5:12
criscarlolm/k6-kubernetes-aws-loadtest,https://github.com/criscarlolm/k6-kubernetes-aws-loadtest,eks/js/tcm-6241.js,yes,,0,,0,,0,,1,10:12
venuthomas/API_7_Ways,https://github.com/venuthomas/API_7_Ways,K6Testing/DeleteEmployeeK6/DeleteEmployeeMinimal.js,yes,,0,,0,,0,,0,
bamlab/performance-monitoring,https://github.com/bamlab/performance-monitoring,src/apiName1/index.js,yes,,0,,0,,0,,0,
VladisSuh/StartupPCConfigurator,https://github.com/VladisSuh/StartupPCConfigurator,scripts/config-flow.js,yes,,0,,0,,2,40:17; 49:18,0,
wildananugrah/belajar,https://github.com/wildananugrah/belajar,40-learn-alpine-js/day1/k6/auth-basic.js,yes,,0,,0,,6,40:26; 53:30; 104:20; 120:25; 149:20; 165:25,0,
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,breakpoint/user/delete_user_username.js,yes,,0,,0,,2,23:27; 31:27,0,
LUCASCNASC/k6-petstore,https://github.com/LUCASCNASC/k6-petstore,smoke/store/get_store_inventory.js,yes,,0,,0,,0,,1,4:14
Themba47622/k6-load-testing-example,https://github.com/Themba47622/k6-load-testing-example,scripts/Example2.js,yes,,0,,0,,2,9:3; 9:9,0,
CHOHYUNHWA/concert-reservation-service,https://github.com/CHOHYUNHWA/concert-reservation-service,k6/scripts/api-queues-token.js,yes,,0,,0,,0,,0,
mitelute/10-40,https://github.com/mitelute/10-40,BULoadTest.js,yes,,0,,0,,0,,1,4:12
sf1tzp/symbology,https://github.com/sf1tzp/symbology,infra/testing/coverage.ts,yes,,0,,0,,0,,0,
vitingr/educational-api,https://github.com/vitingr/educational-api,k6/finished-weekly-plans/index.ts,yes,,0,,0,,0,,0,
lucasonzta/deznity-core,https://github.com/lucasonzta/deznity-core,scripts/setup-cicd.ts,yes,,0,,0,,0,,0,
eixfix/smcc-load-test,https://github.com/eixfix/smcc-load-test,smoke/bootstrap.ts,yes,,0,,0,,0,,0,
KMGeon/hhplus-e-commerce,https://github.com/KMGeon/hhplus-e-commerce,k6/couponPublish_spike.js,yes,,0,,0,,0,,0,
rkhokhla/kakeya,https://github.com/rkhokhla/kakeya,load/baseline.js,yes,,0,,0,,0,,0,
bcwilsondotcom/nx-monorepo-template,https://github.com/bcwilsondotcom/nx-monorepo-template,tools/performance/api-load.js,yes,,0,,0,,9,127:28; 155:29; 176:32; 206:26; 223:28; 239:32; 264:28; 292:29; 304:30,1,27:14
RustTest/wavReader,https://github.com/RustTest/wavReader,voxflowTesting.js,yes,,0,,0,,0,,1,8:14
opencloud-eu/cdperf,https://github.com/opencloud-eu/cdperf,packages/k6-tdk/config/vitest.mocks.ts,yes,,0,,0,,0,,0,
opencloud-eu/cdperf,https://github.com/opencloud-eu/cdperf,packages/k6-tests/config/vitest.mocks.ts,yes,,0,,0,,0,,0,
hoangnm-ndm/dummyjson,https://github.com/hoangnm-ndm/dummyjson,scripts/loadtest.js,yes,,0,,0,,0,,0,
madhurendra1/DummyJSON,https://github.com/madhurendra1/DummyJSON,DummyJSON/scripts/loadtest.js,yes,,0,,0,,0,,0,
carlbray/mountebank,https://github.com/carlbray/mountebank,mbTest/perf/loadTest.js,yes,,0,,0,,0,,0,
ibnc/mountebankMongo,https://github.com/ibnc/mountebankMongo,test/perf/loadTest.js,yes,,0,,0,,0,,0,
skgmfbs/ItHink,https://github.com/skgmfbs/ItHink,k6example/example/expected-response-initial-code.js,yes,,0,,0,,4,16:19; 20:13; 21:13; 27:9,0,
skgmfbs/ItHink,https://github.com/skgmfbs/ItHink,k6example/example/custom-metrics-example.js,yes,,0,,1,18:1,2,19:15; 23:11,0,
ngatiamwai/Shoppie,https://github.com/ngatiamwai/Shoppie,Shopify-backend/K6/breakpointTest.js,yes,,0,,1,12:1,0,,1,4:14
tmc/hackathon-starter,https://github.com/tmc/hackathon-starter,load-generation/basic-load-generation.js,yes,,0,,0,,0,,1,5:12
tmc/d2labs,https://github.com/tmc/d2labs,load-generation/basic-load-generation.js,yes,,0,,0,,0,,1,5:12
marlo2222/curso-teste-performance-k6,https://github.com/marlo2222/curso-teste-performance-k6,modulo3_conceitos_importantes/aula18.js,yes,,0,,0,,0,,0,
thiagoluzia/CursoK6.,https://github.com/thiagoluzia/CursoK6.,modulo3_conceitos_importantes/aula18.js,yes,,0,,0,,0,,0,
tonnarruda/k6_performanceTesting,https://github.com/tonnarruda/k6_performanceTesting,modulo3_conceitos_importantes/aula18.js,yes,,0,,0,,0,,0,
KontonGu/HAS-GPU,https://github.com/KontonGu/HAS-GPU,konton_test/resnet/client/fn-k6.js,yes,,1,19:15,0,,0,,1,8:14
LariGTonetto/QAm28,https://github.com/LariGTonetto/QAm28,requests/products.request.js,yes,,0,,0,,0,,0,
MateusNeres26/EBAC-QA,https://github.com/MateusNeres26/EBAC-QA,Mod28/requests/products.request.js,yes,,0,,0,,0,,0,
inspire12/performance-testing-architecture,https://github.com/inspire12/performance-testing-architecture,k6-testing/js/week3/get-async.js,yes,,0,,0,,2,33:21; 36:3,1,8:12
woocommerce/woocommerce,https://github.com/woocommerce/woocommerce,plugins/woocommerce/tests/performance/requests/shopper/cart-remove-item.js,yes,,0,,0,,0,,0,
notmattpress/poocommerce,https://github.com/notmattpress/poocommerce,plugins/woocommerce/tests/performance/requests/shopper/cart-remove-item.js,yes,,0,,0,,0,,0,
UrumiAI/starshop,https://github.com/UrumiAI/starshop,plugins/woocommerce/tests/performance/requests/shopper/cart-remove-item.js,yes,,0,,0,,0,,0,
lakhyakotnala/ipython,https://github.com/lakhyakotnala/ipython,Automation/performance/scripts/05-Stages.js,yes,,0,,0,,0,,0,
